Q,I,dI
0.001000,1.035436,0.020351
0.006020,0.989636,0.019896
0.011040,1.037581,0.020372
0.016060,0.960588,0.019602
0.021080,0.970677,0.019705
0.026101,0.969034,0.019688
0.031121,0.960324,0.019599
0.036141,0.937293,0.019363
0.041161,0.885238,0.018817
0.046181,0.904130,0.019017
0.051201,0.887087,0.018837
0.056221,0.853811,0.018480
0.061241,0.786630,0.017738
0.066261,0.822197,0.018135
0.071281,0.768800,0.017536
0.076302,0.768410,0.017532
0.081322,0.717345,0.016939
0.086342,0.647297,0.016091
0.091362,0.661740,0.016269
0.096382,0.641558,0.016024
0.101402,0.597836,0.015463
0.106422,0.582366,0.015265
0.111442,0.566719,0.015056
0.116462,0.523928,0.014480
0.121482,0.511419,0.014308
0.126503,0.484629,0.013932
0.131523,0.461637,0.013590
0.136543,0.449066,0.013405
0.141563,0.429758,0.013116
0.146583,0.407838,0.012773
0.151603,0.396858,0.012602
0.156623,0.382177,0.012369
0.161643,0.363729,0.012064
0.166663,0.351636,0.011858
0.171683,0.336984,0.011607
0.176704,0.325059,0.011399
0.181724,0.313319,0.011197
0.186744,0.301783,0.010995
0.191764,0.290424,0.010785
0.196784,0.279257,0.010570
0.201804,0.268269,0.010357
0.206824,0.257457,0.010145
0.211844,0.246818,0.009935
0.216864,0.236346,0.009726
0.221884,0.226039,0.009517
0.226905,0.215893,0.009309
0.231925,0.205905,0.009102
0.236945,0.196072,0.008857
0.241965,0.186391,0.008653
0.246985,0.176859,0.008409
0.252005,0.167473,0.008167
0.257025,0.158230,0.007946
0.262045,0.149128,0.007719
0.267065,0.140162,0.007484
0.272085,0.131332,0.007254
0.277106,0.122634,0.007008
0.282126,0.114065,0.006753
0.287146,0.105624,0.006502
0.292166,0.097308,0.006236
0.297186,0.089116,0.005973
0.302206,0.081044,0.005698
0.307226,0.073091,0.005408
0.312246,0.065254,0.005111
0.317266,0.057532,0.004795
0.322286,0.049921,0.004469
0.327307,0.042421,0.004121
0.332327,0.035028,0.003745
0.337347,0.027742,0.003333
0.342367,0.020559,0.002869
0.347387,0.013480,0.002324
